cow,date,hour,in_alleys,rest,eat,activity_level,label,oestrus,lameness,mastitis,other_disease,ok,physio_label
151,2015-03-02,1,461.007,3126.318,10.47,-640.89462,disturbance,0.0,1.0,0.0,0.0,0,lameness
151,2015-03-02,2,27.001,3572.998,0.0,-817.46938,disturbance,0.0,1.0,0.0,0.0,0,lameness
151,2015-03-02,3,12.114,3580.726,0.0,-821.62874,disturbance,0.0,1.0,0.0,0.0,0,lameness
151,2015-03-02,4,795.072,2525.189,276.984,-337.24867,disturbance,0.0,0.0,1.0,0.0,0,mastitis
151,2015-03-02,5,476.794,2966.835,148.657,-543.64907,disturbance,0.0,1.0,0.0,0.0,0,lameness
151,2015-03-02,6,1667.691,460.36,1471.948,779.16592,disturbance,1.0,0.0,0.0,0.0,0,oestrus
151,2015-03-02,7,197.465,0.0,3402.534,1460.65868,disturbance,0.0,1.0,0.0,0.0,0,lameness
151,2015-03-02,8,643.792,611.568,2344.639,947.09446,disturbance,0.0,1.0,0.0,0.0,0,lameness
151,2015-03-02,9,153.095,3137.279,309.625,-567.03647,disturbance,0.0,1.0,0.0,0.0,0,lameness
151,2015-03-02,10,461.982,0.0,3138.017,1391.88426,disturbance,0.0,1.0,0.0,0.0,0,lameness
151,2015-03-02,11,423.422,3.303,3173.274,1399.76291,disturbance,0.0,1.0,0.0,0.0,0,lameness
151,2015-03-02,12,210.832,2340.051,1049.116,-63.84989,disturbance,0.0,1.0,0.0,0.0,0,lameness
151,2015-03-02,13,196.112,1642.422,1761.465,393.43616,disturbance,0.0,1.0,0.0,0.0,0,lameness
151,2015-03-02,14,333.689,0.0,3221.644,1406.48072,disturbance,0.0,1.0,0.0,0.0,0,lameness
151,2015-03-02,15,2190.643,1408.253,1.103,27.06795,disturbance,1.0,0.0,0.0,0.0,0,oestrus
151,2015-03-02,16,571.216,0.0,3028.783,1363.48342,disturbance,0.0,1.0,0.0,0.0,0,lameness
151,2015-03-02,17,156.007,0.0,3443.992,1471.43776,disturbance,0.0,0.0,1.0,0.0,0,mastitis
151,2015-03-02,18,222.711,0.0,3377.288,1454.09472,disturbance,0.0,1.0,0.0,0.0,0,lameness
151,2015-03-02,19,474.371,2492.012,632.513,-231.60794,disturbance,0.0,0.0,1.0,0.0,0,mastitis
151,2015-03-02,20,280.005,3319.994,0.0,-718.79782,disturbance,1.0,0.0,0.0,0.0,0,oestrus
151,2015-03-02,21,295.966,3282.033,22.0,-698.27303,disturbance,0.0,1.0,0.0,0.0,0,lameness
151,2015-03-02,22,402.828,3097.551,99.62,-606.14385,disturbance,0.0,1.0,0.0,0.0,0,lameness
151,2015-03-02,23,492.985,2154.347,946.613,-19.04475,disturbance,0.0,0.0,0.0,1.0,0,other_disease
151,2015-03-02,24,365.927,1603.718,1630.354,374.44186,disturbance,0.0,1.0,0.0,0.0,0,lameness
151,2015-03-03,1,105.643,3494.356,0.0,-786.799,disturbance,0.0,1.0,0.0,0.0,0,lameness
151,2015-03-03,2,17.608,3582.391,0.0,-821.13265,disturbance,0.0,1.0,0.0,0.0,0,lameness
151,2015-03-03,3,121.011,3478.988,0.0,-780.80548,disturbance,0.0,1.0,0.0,0.0,0,lameness
151,2015-03-03,4,0.0,3599.999,0.0,-827.99977,disturbance,0.0,1.0,0.0,0.0,0,lameness
151,2015-03-03,5,117.208,3482.791,0.0,-782.28865,disturbance,0.0,1.0,0.0,0.0,0,lameness
151,2015-03-03,6,1477.854,491.855,1630.29,808.05179,disturbance,1.0,0.0,0.0,0.0,0,oestrus
151,2015-03-03,7,428.449,436.446,2735.104,1116.91294,disturbance,0.0,1.0,0.0,0.0,0,lameness
151,2015-03-03,8,12.111,3587.888,0.0,-823.27648,disturbance,0.0,1.0,0.0,0.0,0,lameness
151,2015-03-03,9,755.659,1597.172,1205.336,259.797,disturbance,0.0,1.0,0.0,0.0,0,lameness
